serafico,"[1, 0, 0]"
mirandole,"[2, 0, 0]"
sesgo,"[1, 0, 0]"
diferenciaba,"[1, 0, 0]"
aspecto,"[14, 8, 2]"
asiduos,"[1, 0, 0]"
visitantes,"[2, 0, 0]"
estos,"[18, 44, 10]"
buenas,"[7, 3, 4]"
gentes,"[11, 2, 1]"
nunca,"[30, 26, 11]"
hablaban,"[1, 0, 7]"
decian,"[3, 2, 6]"
preguntaban,"[1, 0, 0]"
cierta,"[35, 1, 12]"
veneracion,"[1, 0, 0]"
reverenda,"[6, 0, 0]"
superiora,"[7, 0, 0]"
dirigian,"[3, 1, 0]"
sonrisa,"[8, 6, 10]"
conserje,"[2, 0, 0]"
inclinaban,"[1, 0, 0]"
cabeza,"[29, 36, 27]"
innumerables,"[7, 0, 1]"
estampas,"[1, 0, 0]"
santos,"[7, 0, 2]"
clases,"[3, 2, 1]"
tamaños,"[1, 0, 0]"
colgadas,"[1, 0, 0]"
paredes,"[5, 2, 2]"
convertian,"[1, 0, 0]"
verdadera,"[5, 4, 4]"
corte,"[15, 3, 2]"
celestial,"[1, 0, 0]"
cromo,"[1, 0, 0]"
palabra,"[6, 11, 3]"
tenia,"[66, 36, 45]"
acento,"[17, 1, 1]"
energico,"[3, 1, 0]"
vibrante,"[2, 0, 1]"
esforzaba,"[1, 0, 0]"
mostraba,"[8, 1, 3]"
ademanes,"[2, 0, 1]"
noble,"[8, 4, 0]"
preguntado,"[2, 0, 0]"
desfachatez,"[1, 0, 0]"
revolucionaria,"[1, 0, 2]"
fijarse,"[3, 0, 2]"
bienaventurados,"[1, 0, 0]"
vivos,"[1, 0, 0]"
colorines,"[2, 0, 0]"
adornaban,"[1, 0, 0]"
parecido,"[1, 1, 0]"
labios,"[13, 4, 4]"
incognito,"[4, 0, 1]"
apuntaba,"[1, 1, 0]"
fugaz,"[4, 0, 0]"
amarga,"[1, 0, 0]"
rostro,"[35, 6, 4]"
moreno,"[3, 0, 0]"
facciones,"[1, 0, 0]"
aquellos,"[56, 15, 19]"
bigotes,"[3, 1, 0]"
gruesos,"[1, 0, 2]"
color,"[8, 6, 8]"
rubio,"[2, 0, 0]"
oscuro,"[1, 0, 4]"
reflejos,"[1, 0, 3]"
metalicos,"[1, 0, 0]"
frente,"[29, 9, 16]"
surcada,"[1, 0, 0]"
arruga,"[1, 0, 0]"
